Datetime,Value,Topic,Value_Float
2023-08-02 13:42:33.177856,305.47,acYChar/mqtt,305.47
2023-08-02 13:42:33.181388,69.13,acZChar/mqtt,69.13
2023-08-02 13:42:33.186674,-0.20,currentSenChar/mqtt,-0.2
2023-08-02 13:42:33.418280,296.81,acXChar/mqtt,296.81
2023-08-02 13:42:33.428864,305.76,acYChar/mqtt,305.76
2023-08-02 13:42:33.436944,69.75,acZChar/mqtt,69.75
2023-08-02 13:42:33.446385,-0.41,currentSenChar/mqtt,-0.41
2023-08-02 13:42:33.448004,297.35,acXChar/mqtt,297.35
2023-08-02 13:42:33.456526,305.24,acYChar/mqtt,305.24
2023-08-02 13:42:33.465667,69.57,acZChar/mqtt,69.57
2023-08-02 13:42:33.465667,-0.09,currentSenChar/mqtt,-0.09
2023-08-02 13:42:33.526304,296.66,acXChar/mqtt,296.66
2023-08-02 13:42:33.535033,305.22,acYChar/mqtt,305.22
2023-08-02 13:42:33.541684,70.44,acZChar/mqtt,70.44
2023-08-02 13:42:33.550113,0.49,currentSenChar/mqtt,0.49
2023-08-02 13:42:33.558620,296.87,acXChar/mqtt,296.87
2023-08-02 13:42:33.558620,305.28,acYChar/mqtt,305.28
2023-08-02 13:42:33.568720,69.52,acZChar/mqtt,69.52
2023-08-02 13:42:33.577598,-1.04,currentSenChar/mqtt,-1.04
2023-08-02 13:42:33.586050,296.83,acXChar/mqtt,296.83
2023-08-02 13:42:33.590596,305.41,acYChar/mqtt,305.41
2023-08-02 13:42:33.599939,69.78,acZChar/mqtt,69.78
2023-08-02 13:42:33.608303,0.41,currentSenChar/mqtt,0.41
2023-08-02 13:42:33.608303,296.49,acXChar/mqtt,296.49
2023-08-02 13:42:33.616356,305.43,acYChar/mqtt,305.43
2023-08-02 13:42:33.624345,69.38,acZChar/mqtt,69.38
2023-08-02 13:42:33.637951,0.33,currentSenChar/mqtt,0.33
2023-08-02 13:42:33.642016,296.66,acXChar/mqtt,296.66
2023-08-02 13:42:33.732526,305.58,acYChar/mqtt,305.58
2023-08-02 13:42:33.732526,69.17,acZChar/mqtt,69.17
2023-08-02 13:42:33.741273,-0.30,currentSenChar/mqtt,-0.3
2023-08-02 13:42:33.750391,296.76,acXChar/mqtt,296.76
2023-08-02 13:42:33.757767,305.58,acYChar/mqtt,305.58
2023-08-02 13:42:33.766646,70.51,acZChar/mqtt,70.51
2023-08-02 13:42:33.775891,-0.99,currentSenChar/mqtt,-0.99
2023-08-02 13:42:33.775891,296.66,acXChar/mqtt,296.66
2023-08-02 13:42:33.784263,305.39,acYChar/mqtt,305.39
2023-08-02 13:42:33.792849,69.32,acZChar/mqtt,69.32
2023-08-02 13:42:33.801142,0.49,currentSenChar/mqtt,0.49
2023-08-02 13:42:33.827319,296.58,acXChar/mqtt,296.58
2023-08-02 13:42:33.835646,305.37,acYChar/mqtt,305.37
2023-08-02 13:42:33.844024,68.58,acZChar/mqtt,68.58
2023-08-02 13:42:33.849139,0.33,currentSenChar/mqtt,0.33
2023-08-02 13:42:33.859756,296.81,acXChar/mqtt,296.81
2023-08-02 13:42:33.869324,305.68,acYChar/mqtt,305.68
2023-08-02 13:42:33.869324,69.75,acZChar/mqtt,69.75
2023-08-02 13:42:33.878089,-0.65,currentSenChar/mqtt,-0.65
2023-08-02 13:42:33.887018,296.79,acXChar/mqtt,296.79
2023-08-02 13:42:33.896151,305.49,acYChar/mqtt,305.49
2023-08-02 13:42:33.896151,69.23,acZChar/mqtt,69.23
2023-08-02 13:42:33.904300,-0.94,currentSenChar/mqtt,-0.94
2023-08-02 13:42:34.035527,296.62,acXChar/mqtt,296.62
2023-08-02 13:42:34.046903,305.76,acYChar/mqtt,305.76
2023-08-02 13:42:34.046903,70.19,acZChar/mqtt,70.19
2023-08-02 13:42:34.057222,-0.72,currentSenChar/mqtt,-0.72
2023-08-02 13:42:34.066436,296.30,acXChar/mqtt,296.3
2023-08-02 13:42:34.077062,305.30,acYChar/mqtt,305.3
2023-08-02 13:42:34.082759,69.55,acZChar/mqtt,69.55
2023-08-02 13:42:34.093135,0.49,currentSenChar/mqtt,0.49
2023-08-02 13:42:34.142691,296.66,acXChar/mqtt,296.66
2023-08-02 13:42:34.144513,304.99,acYChar/mqtt,304.99
2023-08-02 13:42:34.156448,69.44,acZChar/mqtt,69.44
2023-08-02 13:42:34.165821,0.78,currentSenChar/mqtt,0.78
2023-08-02 13:42:34.175771,296.58,acXChar/mqtt,296.58
2023-08-02 13:42:34.184284,305.64,acYChar/mqtt,305.64
2023-08-02 13:42:34.193488,69.34,acZChar/mqtt,69.34
2023-08-02 13:42:34.195696,-0.65,currentSenChar/mqtt,-0.65
2023-08-02 13:42:34.204115,296.58,acXChar/mqtt,296.58
2023-08-02 13:42:34.342379,305.09,acYChar/mqtt,305.09
2023-08-02 13:42:34.348482,69.57,acZChar/mqtt,69.57
2023-08-02 13:42:34.364159,-1.25,currentSenChar/mqtt,-1.25
2023-08-02 13:42:34.376009,296.74,acXChar/mqtt,296.74
2023-08-02 13:42:34.377205,305.74,acYChar/mqtt,305.74
2023-08-02 13:42:34.386472,69.61,acZChar/mqtt,69.61
2023-08-02 13:42:34.397027,-0.41,currentSenChar/mqtt,-0.41
2023-08-02 13:42:34.406709,296.77,acXChar/mqtt,296.77
2023-08-02 13:42:34.415586,305.07,acYChar/mqtt,305.07
2023-08-02 13:42:34.415586,69.82,acZChar/mqtt,69.82
2023-08-02 13:42:34.427038,-0.06,currentSenChar/mqtt,-0.06
2023-08-02 13:42:34.446231,296.77,acXChar/mqtt,296.77
2023-08-02 13:42:34.455950,305.49,acYChar/mqtt,305.49
2023-08-02 13:42:34.464284,69.59,acZChar/mqtt,69.59
2023-08-02 13:42:34.464284,0.38,currentSenChar/mqtt,0.38
2023-08-02 13:42:34.476248,296.22,acXChar/mqtt,296.22
2023-08-02 13:42:34.484683,305.51,acYChar/mqtt,305.51
2023-08-02 13:42:34.493554,69.38,acZChar/mqtt,69.38
2023-08-02 13:42:34.502663,-0.94,currentSenChar/mqtt,-0.94
2023-08-02 13:42:34.511078,296.43,acXChar/mqtt,296.43
2023-08-02 13:42:34.519373,305.81,acYChar/mqtt,305.81
2023-08-02 13:42:34.530120,69.21,acZChar/mqtt,69.21
2023-08-02 13:42:34.539173,-0.51,currentSenChar/mqtt,-0.51
2023-08-02 13:42:34.752621,296.76,acXChar/mqtt,296.76
2023-08-02 13:42:34.760222,305.33,acYChar/mqtt,305.33
2023-08-02 13:42:34.760222,69.46,acZChar/mqtt,69.46
2023-08-02 13:42:34.769425,-1.15,currentSenChar/mqtt,-1.15
2023-08-02 13:42:34.777456,296.56,acXChar/mqtt,296.56
2023-08-02 13:42:34.785866,305.43,acYChar/mqtt,305.43
2023-08-02 13:42:34.794281,69.55,acZChar/mqtt,69.55
2023-08-02 13:42:34.802762,-0.09,currentSenChar/mqtt,-0.09
2023-08-02 13:42:34.857686,296.58,acXChar/mqtt,296.58
2023-08-02 13:42:34.860328,305.35,acYChar/mqtt,305.35
2023-08-02 13:42:34.877481,69.90,acZChar/mqtt,69.9
2023-08-02 13:42:34.877481,0.33,currentSenChar/mqtt,0.33
2023-08-02 13:42:34.886398,296.14,acXChar/mqtt,296.14
2023-08-02 13:42:34.898263,305.07,acYChar/mqtt,305.07
2023-08-02 13:42:34.910075,69.65,acZChar/mqtt,69.65
2023-08-02 13:42:34.918492,-0.78,currentSenChar/mqtt,-0.78
2023-08-02 13:42:34.919262,296.91,acXChar/mqtt,296.91
2023-08-02 13:42:34.927751,305.39,acYChar/mqtt,305.39
2023-08-02 13:42:34.936707,69.46,acZChar/mqtt,69.46
2023-08-02 13:42:34.946832,0.41,currentSenChar/mqtt,0.41
2023-08-02 13:42:34.958672,296.26,acXChar/mqtt,296.26
2023-08-02 13:42:34.959505,305.28,acYChar/mqtt,305.28
2023-08-02 13:42:34.974879,68.81,acZChar/mqtt,68.81
2023-08-02 13:42:34.982929,0.54,currentSenChar/mqtt,0.54
2023-08-02 13:42:34.983693,297.02,acXChar/mqtt,297.02
2023-08-02 13:42:34.991745,305.22,acYChar/mqtt,305.22
2023-08-02 13:42:35.001387,69.54,acZChar/mqtt,69.54
2023-08-02 13:42:35.006076,-0.41,currentSenChar/mqtt,-0.41
2023-08-02 13:42:35.056834,296.45,acXChar/mqtt,296.45
2023-08-02 13:42:35.065505,305.01,acYChar/mqtt,305.01
2023-08-02 13:42:35.075798,69.59,acZChar/mqtt,69.59
2023-08-02 13:42:35.075798,0.41,currentSenChar/mqtt,0.41
2023-08-02 13:42:35.089924,296.81,acXChar/mqtt,296.81
2023-08-02 13:42:35.098429,305.74,acYChar/mqtt,305.74
2023-08-02 13:42:35.109084,70.05,acZChar/mqtt,70.05
2023-08-02 13:42:35.113042,-0.65,currentSenChar/mqtt,-0.65
2023-08-02 13:42:35.125664,296.60,acXChar/mqtt,296.6
2023-08-02 13:42:35.125664,305.70,acYChar/mqtt,305.7
2023-08-02 13:42:35.141674,70.28,acZChar/mqtt,70.28
2023-08-02 13:42:35.150182,0.60,currentSenChar/mqtt,0.6
2023-08-02 13:42:35.175503,296.97,acXChar/mqtt,296.97
2023-08-02 13:42:35.182048,305.74,acYChar/mqtt,305.74
2023-08-02 13:42:35.182471,70.01,acZChar/mqtt,70.01
2023-08-02 13:42:35.191316,-0.35,currentSenChar/mqtt,-0.35
2023-08-02 13:42:35.266086,297.27,acXChar/mqtt,297.27
2023-08-02 13:42:35.274928,305.32,acYChar/mqtt,305.32
2023-08-02 13:42:35.284726,70.26,acZChar/mqtt,70.26
2023-08-02 13:42:35.284726,-0.78,currentSenChar/mqtt,-0.78
2023-08-02 13:42:35.310434,296.37,acXChar/mqtt,296.37
2023-08-02 13:42:35.318880,305.49,acYChar/mqtt,305.49
2023-08-02 13:42:35.326986,69.57,acZChar/mqtt,69.57
2023-08-02 13:42:35.337357,-0.35,currentSenChar/mqtt,-0.35
2023-08-02 13:42:35.577424,296.49,acXChar/mqtt,296.49
2023-08-02 13:42:35.585943,305.30,acYChar/mqtt,305.3
2023-08-02 13:42:35.597815,69.17,acZChar/mqtt,69.17
2023-08-02 13:42:35.607689,-1.01,currentSenChar/mqtt,-1.01
2023-08-02 13:42:35.615458,296.66,acXChar/mqtt,296.66
2023-08-02 13:42:35.625872,305.18,acYChar/mqtt,305.18
2023-08-02 13:42:35.631626,70.01,acZChar/mqtt,70.01
2023-08-02 13:42:35.636927,-1.01,currentSenChar/mqtt,-1.01
2023-08-02 13:42:35.645720,296.33,acXChar/mqtt,296.33
2023-08-02 13:42:35.649992,305.14,acYChar/mqtt,305.14
2023-08-02 13:42:35.660090,69.90,acZChar/mqtt,69.9
2023-08-02 13:42:35.663175,-0.28,currentSenChar/mqtt,-0.28
2023-08-02 13:42:35.671574,297.08,acXChar/mqtt,297.08
2023-08-02 13:42:35.680399,305.24,acYChar/mqtt,305.24
2023-08-02 13:42:35.688619,69.09,acZChar/mqtt,69.09
2023-08-02 13:42:35.689123,-0.38,currentSenChar/mqtt,-0.38
2023-08-02 13:42:35.697168,296.66,acXChar/mqtt,296.66
2023-08-02 13:42:35.707515,305.58,acYChar/mqtt,305.58
2023-08-02 13:42:35.707515,68.81,acZChar/mqtt,68.81
2023-08-02 13:42:35.715998,-0.54,currentSenChar/mqtt,-0.54
2023-08-02 13:42:35.726541,297.12,acXChar/mqtt,297.12
2023-08-02 13:42:35.734910,305.77,acYChar/mqtt,305.77
2023-08-02 13:42:35.747227,69.13,acZChar/mqtt,69.13
2023-08-02 13:42:35.755725,0.41,currentSenChar/mqtt,0.41
2023-08-02 13:42:35.773578,296.87,acXChar/mqtt,296.87
2023-08-02 13:42:35.789643,305.56,acYChar/mqtt,305.56
2023-08-02 13:42:35.790142,69.94,acZChar/mqtt,69.94
2023-08-02 13:42:35.809369,0.44,currentSenChar/mqtt,0.44
2023-08-02 13:42:35.817243,296.81,acXChar/mqtt,296.81
2023-08-02 13:42:35.826619,305.39,acYChar/mqtt,305.39
2023-08-02 13:42:35.830542,69.36,acZChar/mqtt,69.36
2023-08-02 13:42:35.839253,-0.80,currentSenChar/mqtt,-0.8
2023-08-02 13:42:35.879217,296.72,acXChar/mqtt,296.72
2023-08-02 13:42:35.887265,305.26,acYChar/mqtt,305.26
2023-08-02 13:42:35.887265,69.54,acZChar/mqtt,69.54
2023-08-02 13:42:35.895587,0.17,currentSenChar/mqtt,0.17
2023-08-02 13:42:35.904586,296.07,acXChar/mqtt,296.07
2023-08-02 13:42:35.913316,305.60,acYChar/mqtt,305.6
2023-08-02 13:42:35.913316,69.78,acZChar/mqtt,69.78
2023-08-02 13:42:35.923011,-0.75,currentSenChar/mqtt,-0.75
2023-08-02 13:42:35.931373,296.54,acXChar/mqtt,296.54
2023-08-02 13:42:35.985087,305.89,acYChar/mqtt,305.89
2023-08-02 13:42:35.985087,69.48,acZChar/mqtt,69.48
2023-08-02 13:42:35.995862,-0.96,currentSenChar/mqtt,-0.96
2023-08-02 13:42:36.083689,296.53,acXChar/mqtt,296.53
2023-08-02 13:42:36.093365,305.18,acYChar/mqtt,305.18
2023-08-02 13:42:36.093365,70.19,acZChar/mqtt,70.19
2023-08-02 13:42:36.106212,-0.38,currentSenChar/mqtt,-0.38
2023-08-02 13:42:36.106212,296.77,acXChar/mqtt,296.77
2023-08-02 13:42:36.115053,305.76,acYChar/mqtt,305.76
2023-08-02 13:42:36.125998,70.15,acZChar/mqtt,70.15
2023-08-02 13:42:36.142319,-0.94,currentSenChar/mqtt,-0.94
2023-08-02 13:42:36.186630,297.16,acXChar/mqtt,297.16
2023-08-02 13:42:36.195172,305.35,acYChar/mqtt,305.35
2023-08-02 13:42:36.195172,69.17,acZChar/mqtt,69.17
2023-08-02 13:42:36.203534,1.20,currentSenChar/mqtt,1.2
2023-08-02 13:42:36.211826,296.89,acXChar/mqtt,296.89
2023-08-02 13:42:36.222426,304.87,acYChar/mqtt,304.87
2023-08-02 13:42:36.231235,69.21,acZChar/mqtt,69.21
2023-08-02 13:42:36.231235,-0.80,currentSenChar/mqtt,-0.8
2023-08-02 13:42:36.239893,296.54,acXChar/mqtt,296.54
2023-08-02 13:42:36.248509,305.07,acYChar/mqtt,305.07
2023-08-02 13:42:36.257256,69.96,acZChar/mqtt,69.96
2023-08-02 13:42:36.259261,-0.75,currentSenChar/mqtt,-0.75
2023-08-02 13:42:36.298279,296.31,acXChar/mqtt,296.31
2023-08-02 13:42:36.395679,305.47,acYChar/mqtt,305.47
2023-08-02 13:42:36.398601,70.19,acZChar/mqtt,70.19
2023-08-02 13:42:36.408402,-0.88,currentSenChar/mqtt,-0.88
2023-08-02 13:42:36.417153,296.83,acXChar/mqtt,296.83
2023-08-02 13:42:36.417153,305.77,acYChar/mqtt,305.77
2023-08-02 13:42:36.425922,69.42,acZChar/mqtt,69.42
2023-08-02 13:42:36.434372,-0.67,currentSenChar/mqtt,-0.67
2023-08-02 13:42:36.494288,296.98,acXChar/mqtt,296.98
2023-08-02 13:42:36.503599,305.49,acYChar/mqtt,305.49
2023-08-02 13:42:36.503599,69.15,acZChar/mqtt,69.15
2023-08-02 13:42:36.521065,0.99,currentSenChar/mqtt,0.99
2023-08-02 13:42:36.530832,296.18,acXChar/mqtt,296.18
2023-08-02 13:42:36.533112,305.68,acYChar/mqtt,305.68
2023-08-02 13:42:36.544878,69.78,acZChar/mqtt,69.78
2023-08-02 13:42:36.547648,-0.83,currentSenChar/mqtt,-0.83
2023-08-02 13:42:36.568421,297.08,acXChar/mqtt,297.08
2023-08-02 13:42:36.569010,305.68,acYChar/mqtt,305.68
2023-08-02 13:42:36.577286,69.19,acZChar/mqtt,69.19
2023-08-02 13:42:36.586527,-0.43,currentSenChar/mqtt,-0.43
2023-08-02 13:42:36.701877,296.18,acXChar/mqtt,296.18
2023-08-02 13:42:36.703612,305.74,acYChar/mqtt,305.74
2023-08-02 13:42:36.712175,69.02,acZChar/mqtt,69.02
2023-08-02 13:42:36.720329,-0.78,currentSenChar/mqtt,-0.78
2023-08-02 13:42:36.722973,296.54,acXChar/mqtt,296.54
2023-08-02 13:42:36.732432,305.64,acYChar/mqtt,305.64
2023-08-02 13:42:36.741265,69.09,acZChar/mqtt,69.09
2023-08-02 13:42:36.750084,0.44,currentSenChar/mqtt,0.44
2023-08-02 13:42:36.806658,296.53,acXChar/mqtt,296.53
2023-08-02 13:42:36.813228,305.47,acYChar/mqtt,305.47
2023-08-02 13:42:36.819587,68.81,acZChar/mqtt,68.81
2023-08-02 13:42:36.825070,0.49,currentSenChar/mqtt,0.49
2023-08-02 13:42:36.831078,296.58,acXChar/mqtt,296.58
2023-08-02 13:42:36.833632,305.26,acYChar/mqtt,305.26
2023-08-02 13:42:36.842500,68.98,acZChar/mqtt,68.98
2023-08-02 13:42:36.842500,-1.09,currentSenChar/mqtt,-1.09
2023-08-02 13:42:36.869663,296.64,acXChar/mqtt,296.64
2023-08-02 13:42:36.869663,305.56,acYChar/mqtt,305.56
2023-08-02 13:42:36.877833,69.67,acZChar/mqtt,69.67
2023-08-02 13:42:36.886095,-0.62,currentSenChar/mqtt,-0.62
2023-08-02 13:42:37.004237,297.33,acXChar/mqtt,297.33
2023-08-02 13:42:37.014738,305.85,acYChar/mqtt,305.85
2023-08-02 13:42:37.014738,69.50,acZChar/mqtt,69.5
2023-08-02 13:42:37.024512,-0.70,currentSenChar/mqtt,-0.7
2023-08-02 13:42:37.034873,296.74,acXChar/mqtt,296.74
2023-08-02 13:42:37.034873,305.03,acYChar/mqtt,305.03
2023-08-02 13:42:37.045639,70.28,acZChar/mqtt,70.28
2023-08-02 13:42:37.053825,0.20,currentSenChar/mqtt,0.2
2023-08-02 13:42:37.107152,297.06,acXChar/mqtt,297.06
2023-08-02 13:42:37.117288,305.28,acYChar/mqtt,305.28
2023-08-02 13:42:37.125417,69.78,acZChar/mqtt,69.78
2023-08-02 13:42:37.127393,0.52,currentSenChar/mqtt,0.52
2023-08-02 13:42:37.136182,296.60,acXChar/mqtt,296.6
2023-08-02 13:42:37.136768,305.56,acYChar/mqtt,305.56
2023-08-02 13:42:37.145209,69.54,acZChar/mqtt,69.54
2023-08-02 13:42:37.154001,-0.70,currentSenChar/mqtt,-0.7
2023-08-02 13:42:37.154001,296.77,acXChar/mqtt,296.77
2023-08-02 13:42:37.163488,305.45,acYChar/mqtt,305.45
2023-08-02 13:42:37.172026,70.01,acZChar/mqtt,70.01
2023-08-02 13:42:37.172026,0.52,currentSenChar/mqtt,0.52
2023-08-02 13:42:37.415533,297.12,acXChar/mqtt,297.12
2023-08-02 13:42:37.415533,305.41,acYChar/mqtt,305.41
2023-08-02 13:42:37.423750,69.11,acZChar/mqtt,69.11
2023-08-02 13:42:37.432594,-0.83,currentSenChar/mqtt,-0.83
2023-08-02 13:42:37.441080,296.41,acXChar/mqtt,296.41
2023-08-02 13:42:37.441080,305.35,acYChar/mqtt,305.35
2023-08-02 13:42:37.450470,69.88,acZChar/mqtt,69.88
2023-08-02 13:42:37.455838,-0.38,currentSenChar/mqtt,-0.38
2023-08-02 13:42:37.522248,296.08,acXChar/mqtt,296.08
2023-08-02 13:42:37.522248,305.68,acYChar/mqtt,305.68
2023-08-02 13:42:37.534466,69.67,acZChar/mqtt,69.67
2023-08-02 13:42:37.542880,-0.14,currentSenChar/mqtt,-0.14
2023-08-02 13:42:37.543327,296.83,acXChar/mqtt,296.83
2023-08-02 13:42:37.553193,304.76,acYChar/mqtt,304.76
2023-08-02 13:42:37.564484,70.82,acZChar/mqtt,70.82
2023-08-02 13:42:37.572844,-1.23,currentSenChar/mqtt,-1.23
2023-08-02 13:42:37.573331,296.56,acXChar/mqtt,296.56
2023-08-02 13:42:37.581911,305.81,acYChar/mqtt,305.81
2023-08-02 13:42:37.592226,69.59,acZChar/mqtt,69.59
2023-08-02 13:42:37.601052,0.46,currentSenChar/mqtt,0.46
2023-08-02 13:42:37.603946,296.39,acXChar/mqtt,296.39
2023-08-02 13:42:37.612477,305.41,acYChar/mqtt,305.41
2023-08-02 13:42:37.621101,69.73,acZChar/mqtt,69.73
2023-08-02 13:42:37.629243,0.28,currentSenChar/mqtt,0.28
2023-08-02 13:42:37.640562,296.53,acXChar/mqtt,296.53
2023-08-02 13:42:37.644027,305.89,acYChar/mqtt,305.89
2023-08-02 13:42:37.653339,70.07,acZChar/mqtt,70.07
2023-08-02 13:42:37.653339,-0.70,currentSenChar/mqtt,-0.7
2023-08-02 13:42:37.669729,296.14,acXChar/mqtt,296.14
2023-08-02 13:42:37.673267,305.62,acYChar/mqtt,305.62
2023-08-02 13:42:37.682713,69.73,acZChar/mqtt,69.73
2023-08-02 13:42:37.691750,0.49,currentSenChar/mqtt,0.49
2023-08-02 13:42:37.717863,296.66,acXChar/mqtt,296.66
2023-08-02 13:42:37.717863,305.79,acYChar/mqtt,305.79
2023-08-02 13:42:37.726258,69.61,acZChar/mqtt,69.61
2023-08-02 13:42:37.737023,-0.91,currentSenChar/mqtt,-0.91
2023-08-02 13:42:37.825280,297.18,acXChar/mqtt,297.18
2023-08-02 13:42:37.831925,305.55,acYChar/mqtt,305.55
2023-08-02 13:42:37.839703,69.54,acZChar/mqtt,69.54
2023-08-02 13:42:37.847624,-0.99,currentSenChar/mqtt,-0.99
2023-08-02 13:42:37.857027,296.05,acXChar/mqtt,296.05
2023-08-02 13:42:37.869593,305.55,acYChar/mqtt,305.55
2023-08-02 13:42:37.871941,69.34,acZChar/mqtt,69.34
2023-08-02 13:42:37.881279,-0.83,currentSenChar/mqtt,-0.83
2023-08-02 13:42:37.933169,296.89,acXChar/mqtt,296.89
2023-08-02 13:42:37.933681,305.28,acYChar/mqtt,305.28
2023-08-02 13:42:37.950198,69.40,acZChar/mqtt,69.4
2023-08-02 13:42:37.950538,-0.72,currentSenChar/mqtt,-0.72
2023-08-02 13:42:37.964362,297.06,acXChar/mqtt,297.06
2023-08-02 13:42:38.030152,305.39,acYChar/mqtt,305.39
2023-08-02 13:42:38.039367,69.25,acZChar/mqtt,69.25
2023-08-02 13:42:38.049131,-0.59,currentSenChar/mqtt,-0.59
2023-08-02 13:42:38.057158,296.77,acXChar/mqtt,296.77
2023-08-02 13:42:38.067171,305.09,acYChar/mqtt,305.09
2023-08-02 13:42:38.075913,69.69,acZChar/mqtt,69.69
2023-08-02 13:42:38.075913,-0.28,currentSenChar/mqtt,-0.28
2023-08-02 13:42:38.089545,296.08,acXChar/mqtt,296.08
2023-08-02 13:42:38.089545,305.66,acYChar/mqtt,305.66
2023-08-02 13:42:38.097848,69.44,acZChar/mqtt,69.44
2023-08-02 13:42:38.106406,0.96,currentSenChar/mqtt,0.96
2023-08-02 13:42:38.132770,296.24,acXChar/mqtt,296.24
2023-08-02 13:42:38.132770,305.05,acYChar/mqtt,305.05
2023-08-02 13:42:38.141335,69.77,acZChar/mqtt,69.77
2023-08-02 13:42:38.149615,-0.88,currentSenChar/mqtt,-0.88
2023-08-02 13:42:38.175593,296.24,acXChar/mqtt,296.24
2023-08-02 13:42:38.183926,305.53,acYChar/mqtt,305.53
2023-08-02 13:42:38.192517,69.71,acZChar/mqtt,69.71
2023-08-02 13:42:38.200901,-1.20,currentSenChar/mqtt,-1.2
2023-08-02 13:42:38.342683,296.53,acXChar/mqtt,296.53
2023-08-02 13:42:38.352358,305.32,acYChar/mqtt,305.32
2023-08-02 13:42:38.358479,69.29,acZChar/mqtt,69.29
2023-08-02 13:42:38.359382,-0.17,currentSenChar/mqtt,-0.17
2023-08-02 13:42:38.365487,296.30,acXChar/mqtt,296.3
2023-08-02 13:42:38.376458,306.12,acYChar/mqtt,306.12
2023-08-02 13:42:38.383858,69.06,acZChar/mqtt,69.06
2023-08-02 13:42:38.391313,0.49,currentSenChar/mqtt,0.49
2023-08-02 13:42:38.439052,296.31,acXChar/mqtt,296.31
2023-08-02 13:42:38.447916,305.72,acYChar/mqtt,305.72
2023-08-02 13:42:38.448238,69.32,acZChar/mqtt,69.32
2023-08-02 13:42:38.456589,0.33,currentSenChar/mqtt,0.33
2023-08-02 13:42:38.466359,296.68,acXChar/mqtt,296.68
2023-08-02 13:42:38.466359,305.35,acYChar/mqtt,305.35
2023-08-02 13:42:38.475361,69.42,acZChar/mqtt,69.42
2023-08-02 13:42:38.484290,-0.70,currentSenChar/mqtt,-0.7
